ITFGSM Hash Distance, MT-ITFGSM Hash Distance, L2 Distance ITFGSM, L2 Distance MT-ITFGSM,SSIM ITFGSM,SSIM MT-ITFGSM
0.000000000000000000e+00,2.000000000000000000e+00,2.309999942779541016e+00,2.359999895095825195e+00,1.000000000000000000e+00,9.847989678382873535e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.660000085830688477e+00,2.660000085830688477e+00,1.000000000000000000e+00,9.722602367401123047e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.910000085830688477e+00,2.829999923706054688e+00,1.000000000000000000e+00,9.789231419563293457e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.930000066757202148e+00,2.880000114440917969e+00,1.000000000000000000e+00,9.794713854789733887e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.819999933242797852e+00,2.720000028610229492e+00,1.000000000000000000e+00,9.739058613777160645e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.910000085830688477e+00,2.619999885559082031e+00,1.000000000000000000e+00,9.679101109504699707e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.900000095367431641e+00,2.869999885559082031e+00,1.000000000000000000e+00,9.762508273124694824e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.849999904632568359e+00,2.759999990463256836e+00,1.000000000000000000e+00,9.748048782348632812e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.920000076293945312e+00,2.529999971389770508e+00,1.000000000000000000e+00,9.863433241844177246e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,2.960000038146972656e+00,1.000000000000000000e+00,9.600038528442382812e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.009999990463256836e+00,3.009999990463256836e+00,1.000000000000000000e+00,9.820804595947265625e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.750000000000000000e+00,2.670000076293945312e+00,1.000000000000000000e+00,9.707202911376953125e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.970000028610229492e+00,2.829999923706054688e+00,1.000000000000000000e+00,9.329791069030761719e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.930000066757202148e+00,2.759999990463256836e+00,1.000000000000000000e+00,9.609140753746032715e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.880000114440917969e+00,2.829999923706054688e+00,1.000000000000000000e+00,9.739488959312438965e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.819999933242797852e+00,2.660000085830688477e+00,1.000000000000000000e+00,9.727611541748046875e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.819999933242797852e+00,2.740000009536743164e+00,1.000000000000000000e+00,9.741327166557312012e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.819999933242797852e+00,2.859999895095825195e+00,1.000000000000000000e+00,9.886642098426818848e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.859999895095825195e+00,2.799999952316284180e+00,1.000000000000000000e+00,9.871687889099121094e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.869999885559082031e+00,2.750000000000000000e+00,1.000000000000000000e+00,9.801592230796813965e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.019999980926513672e+00,2.940000057220458984e+00,1.000000000000000000e+00,9.848777651786804199e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.859999895095825195e+00,2.680000066757202148e+00,1.000000000000000000e+00,9.780583977699279785e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.980000019073486328e+00,2.950000047683715820e+00,1.000000000000000000e+00,9.884359836578369141e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.690000057220458984e+00,2.730000019073486328e+00,1.000000000000000000e+00,9.914546608924865723e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.619999885559082031e+00,2.589999914169311523e+00,1.000000000000000000e+00,9.710748791694641113e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.829999923706054688e+00,2.750000000000000000e+00,1.000000000000000000e+00,9.882149696350097656e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.799999952316284180e+00,2.690000057220458984e+00,1.000000000000000000e+00,9.749824404716491699e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.819999933242797852e+00,2.650000095367431641e+00,1.000000000000000000e+00,9.868256449699401855e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.859999895095825195e+00,2.740000009536743164e+00,1.000000000000000000e+00,9.882722496986389160e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.789999961853027344e+00,2.509999990463256836e+00,1.000000000000000000e+00,9.803867340087890625e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.769999980926513672e+00,2.569999933242797852e+00,1.000000000000000000e+00,9.703227877616882324e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.819999933242797852e+00,2.650000095367431641e+00,1.000000000000000000e+00,9.811403155326843262e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,2.880000114440917969e+00,1.000000000000000000e+00,9.667680859565734863e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.839999914169311523e+00,2.539999961853027344e+00,1.000000000000000000e+00,9.645213484764099121e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.880000114440917969e+00,2.630000114440917969e+00,1.000000000000000000e+00,9.755461812019348145e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.900000095367431641e+00,2.589999914169311523e+00,1.000000000000000000e+00,9.715270400047302246e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.720000028610229492e+00,2.710000038146972656e+00,1.000000000000000000e+00,9.801163673400878906e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.750000000000000000e+00,2.640000104904174805e+00,1.000000000000000000e+00,9.651681780815124512e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.839999914169311523e+00,2.849999904632568359e+00,1.000000000000000000e+00,9.766807556152343750e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.049999952316284180e+00,2.839999914169311523e+00,1.000000000000000000e+00,9.745774269104003906e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.880000114440917969e+00,2.420000076293945312e+00,1.000000000000000000e+00,9.682765603065490723e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.750000000000000000e+00,2.809999942779541016e+00,1.000000000000000000e+00,9.816907048225402832e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.880000114440917969e+00,2.789999961853027344e+00,1.000000000000000000e+00,9.782385826110839844e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.859999895095825195e+00,2.619999885559082031e+00,1.000000000000000000e+00,9.925766587257385254e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.779999971389770508e+00,2.569999933242797852e+00,1.000000000000000000e+00,9.819704890251159668e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.890000104904174805e+00,2.339999914169311523e+00,1.000000000000000000e+00,9.848439097404479980e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.990000009536743164e+00,2.779999971389770508e+00,1.000000000000000000e+00,9.814222455024719238e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.900000095367431641e+00,2.690000057220458984e+00,1.000000000000000000e+00,9.818467497825622559e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.910000085830688477e+00,2.339999914169311523e+00,1.000000000000000000e+00,9.899675846099853516e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.930000066757202148e+00,2.890000104904174805e+00,1.000000000000000000e+00,9.869987368583679199e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.980000019073486328e+00,2.630000114440917969e+00,1.000000000000000000e+00,9.804928898811340332e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.819999933242797852e+00,2.849999904632568359e+00,1.000000000000000000e+00,9.745385050773620605e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.920000076293945312e+00,2.960000038146972656e+00,1.000000000000000000e+00,9.785049557685852051e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.690000057220458984e+00,2.529999971389770508e+00,1.000000000000000000e+00,9.692375063896179199e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.009999990463256836e+00,2.670000076293945312e+00,1.000000000000000000e+00,9.769834876060485840e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.960000038146972656e+00,3.019999980926513672e+00,1.000000000000000000e+00,9.898198246955871582e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.890000104904174805e+00,2.369999885559082031e+00,1.000000000000000000e+00,9.861130714416503906e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.680000066757202148e+00,2.559999942779541016e+00,1.000000000000000000e+00,9.764198660850524902e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.880000114440917969e+00,2.640000104904174805e+00,1.000000000000000000e+00,9.876090884208679199e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.930000066757202148e+00,2.450000047683715820e+00,1.000000000000000000e+00,9.609194397926330566e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.890000104904174805e+00,2.619999885559082031e+00,1.000000000000000000e+00,9.913445115089416504e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.880000114440917969e+00,2.930000066757202148e+00,1.000000000000000000e+00,9.811536669731140137e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.700000047683715820e+00,2.690000057220458984e+00,1.000000000000000000e+00,9.665649533271789551e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.750000000000000000e+00,2.609999895095825195e+00,1.000000000000000000e+00,9.755876660346984863e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.660000085830688477e+00,2.599999904632568359e+00,1.000000000000000000e+00,9.756509661674499512e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.019999980926513672e+00,2.769999980926513672e+00,1.000000000000000000e+00,9.847738146781921387e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.690000057220458984e+00,2.759999990463256836e+00,1.000000000000000000e+00,9.674696922302246094e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.809999942779541016e+00,2.710000038146972656e+00,1.000000000000000000e+00,9.628579616546630859e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.970000028610229492e+00,2.789999961853027344e+00,1.000000000000000000e+00,9.746077656745910645e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.930000066757202148e+00,2.890000104904174805e+00,1.000000000000000000e+00,9.844900965690612793e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.740000009536743164e+00,2.690000057220458984e+00,1.000000000000000000e+00,9.842033386230468750e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.869999885559082031e+00,2.680000066757202148e+00,1.000000000000000000e+00,9.808551669120788574e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.849999904632568359e+00,2.309999942779541016e+00,1.000000000000000000e+00,9.914667606353759766e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.680000066757202148e+00,2.619999885559082031e+00,1.000000000000000000e+00,9.728543758392333984e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.750000000000000000e+00,2.750000000000000000e+00,1.000000000000000000e+00,9.800958633422851562e-01
