ITFGSM Hash Distance, MT-IFGSM Hash Distance, L2 Distance IFGSM, L2 Distance MT-IFGSM, SSIM ITFGSM, SSIM MT-IFGSM
2.000000000000000000e+00,2.000000000000000000e+00,2.109999895095825195e+00,1.399999976158142090e+00,9.861771464347839355e-01,9.932597279548645020e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.069999933242797852e+00,1.320000052452087402e+00,9.886908531188964844e-01,9.950612187385559082e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.929999947547912598e+00,1.289999961853027344e+00,9.860671162605285645e-01,9.932892322540283203e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.109999895095825195e+00,1.230000019073486328e+00,9.882616400718688965e-01,9.955611228942871094e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.210000038146972656e+00,1.500000000000000000e+00,9.861519336700439453e-01,9.930429458618164062e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.349999904632568359e+00,1.259999990463256836e+00,9.853415489196777344e-01,9.952337145805358887e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.220000028610229492e+00,1.370000004768371582e+00,9.865897297859191895e-01,9.944116473197937012e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.099999904632568359e+00,1.230000019073486328e+00,9.882205128669738770e-01,9.953134655952453613e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.009999990463256836e+00,1.350000023841857910e+00,9.882467389106750488e-01,9.941150546073913574e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.009999990463256836e+00,1.759999990463256836e+00,9.879071116447448730e-01,9.902784824371337891e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.089999914169311523e+00,1.480000019073486328e+00,9.859625697135925293e-01,9.927652478218078613e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.929999947547912598e+00,1.259999990463256836e+00,9.877347350120544434e-01,9.941361546516418457e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.899999976158142090e+00,1.149999976158142090e+00,9.887711405754089355e-01,9.953725934028625488e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.140000104904174805e+00,1.980000019073486328e+00,9.864895939826965332e-01,9.882548451423645020e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.289999961853027344e+00,2.170000076293945312e+00,9.843738675117492676e-01,9.856764674186706543e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.019999980926513672e+00,1.169999957084655762e+00,9.847659468650817871e-01,9.940609931945800781e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.079999923706054688e+00,1.840000033378601074e+00,9.871368408203125000e-01,9.901094436645507812e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.309999942779541016e+00,1.919999957084655762e+00,9.867269992828369141e-01,9.907317161560058594e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.119999885559082031e+00,1.139999985694885254e+00,9.871209263801574707e-01,9.958017468452453613e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.039999961853027344e+00,1.610000014305114746e+00,9.877899289131164551e-01,9.916172623634338379e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.079999923706054688e+00,1.450000047683715820e+00,9.846687316894531250e-01,9.922217726707458496e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.929999947547912598e+00,1.110000014305114746e+00,9.835224151611328125e-01,9.937259554862976074e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.089999914169311523e+00,1.299999952316284180e+00,9.879263043403625488e-01,9.942784309387207031e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.200000047683715820e+00,1.519999980926513672e+00,9.876900315284729004e-01,9.936589598655700684e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.769999980926513672e+00,1.250000000000000000e+00,9.869341850280761719e-01,9.925866127014160156e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.170000076293945312e+00,1.250000000000000000e+00,9.844066500663757324e-01,9.940121769905090332e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.850000023841857910e+00,1.350000023841857910e+00,9.869591593742370605e-01,9.923834204673767090e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.990000009536743164e+00,1.409999966621398926e+00,9.857003092765808105e-01,9.922705292701721191e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.059999942779541016e+00,1.210000038146972656e+00,9.868816733360290527e-01,9.948337078094482422e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.049999952316284180e+00,1.240000009536743164e+00,9.873278737068176270e-01,9.947133660316467285e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.960000038146972656e+00,1.299999952316284180e+00,9.888376593589782715e-01,9.945821166038513184e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.170000076293945312e+00,1.289999961853027344e+00,9.887871146202087402e-01,9.955053329467773438e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000000e+00,1.409999966621398926e+00,9.826959967613220215e-01,9.923287034034729004e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.950000047683715820e+00,1.120000004768371582e+00,9.862110614776611328e-01,9.948005676269531250e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.929999947547912598e+00,1.250000000000000000e+00,9.808108210563659668e-01,9.908785223960876465e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000000e+00,1.360000014305114746e+00,9.886669516563415527e-01,9.957968592643737793e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.919999957084655762e+00,1.379999995231628418e+00,9.867407679557800293e-01,9.923133254051208496e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.940000057220458984e+00,1.340000033378601074e+00,9.866278171539306641e-01,9.930803775787353516e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.980000019073486328e+00,1.350000023841857910e+00,9.864289760589599609e-01,9.928674697875976562e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.319999933242797852e+00,1.070000052452087402e+00,9.837689399719238281e-01,9.959453940391540527e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.980000019073486328e+00,1.309999942779541016e+00,9.852104187011718750e-01,9.929937720298767090e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.150000095367431641e+00,1.720000028610229492e+00,9.866366982460021973e-01,9.910392165184020996e-01
