ITFGSM Hash Distance, MT-IFGSM Hash Distance, L2 Distance ITFGSM, L2 Distance MT-IFGSM, SSIM ITFGSM, SSIM MT-IFGSM
0.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.563054442405700684e-01,9.554782509803771973e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.819999933242797852e+00,3.819999933242797852e+00,9.625402092933654785e-01,9.618126749992370605e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.839999914169311523e+00,9.514146447181701660e-01,9.508382678031921387e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.809999942779541016e+00,3.809999942779541016e+00,9.628005027770996094e-01,9.622345566749572754e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.779999971389770508e+00,3.789999961853027344e+00,9.592158198356628418e-01,9.581305980682373047e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.637954831123352051e-01,9.571465849876403809e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.553586840629577637e-01,9.583539962768554688e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.626744389533996582e-01,9.622476696968078613e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.839999914169311523e+00,9.541570544242858887e-01,9.539544582366943359e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.829999923706054688e+00,3.819999933242797852e+00,9.565915465354919434e-01,9.564598202705383301e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.839999914169311523e+00,9.513581395149230957e-01,9.557625651359558105e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.859999895095825195e+00,3.859999895095825195e+00,9.543129801750183105e-01,9.530730843544006348e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.829999923706054688e+00,3.829999923706054688e+00,9.519523978233337402e-01,9.512206912040710449e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.839999914169311523e+00,9.546809196472167969e-01,9.566952586174011230e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.539871215820312500e-01,9.564329981803894043e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.528315663337707520e-01,9.424617886543273926e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.607191085815429688e-01,9.598193764686584473e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.809999942779541016e+00,3.809999942779541016e+00,9.668435454368591309e-01,9.663708806037902832e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.563077092170715332e-01,9.559299349784851074e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.596448540687561035e-01,9.584307670593261719e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.849999904632568359e+00,9.525812268257141113e-01,9.520561099052429199e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.859999895095825195e+00,9.404442906379699707e-01,9.362563490867614746e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.574823975563049316e-01,9.566313624382019043e-01
